p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
564,162,30,2,0,0,2,3,3
564,162,30,2,0,0,2,3,3
576,172,28,0,0,0,2,3,3
522,160,30,2,0,0,2,3,3
558,170,40,2,0,0,3,5,5
558,170,40,2,0,0,3,5,5
528,158,30,2,0,0,1,3,3
528,158,30,2,0,0,1,3,3
492,144,32,4,0,0,2,4,4
498,144,36,6,0,0,2,5,5
534,158,42,8,0,0,2,6,6
534,158,42,8,0,0,2,6,6
522,158,36,10,0,0,2,6,6
522,158,36,10,0,0,2,6,6
468,144,36,10,0,0,1,4,4
480,152,36,10,0,0,1,4,4
504,160,32,10,2,2,2,5,7
504,160,32,10,2,2,2,5,7
594,188,28,6,2,2,3,5,6
594,188,28,6,2,2,3,5,6
600,180,24,4,2,2,3,4,6
594,178,24,6,2,2,3,4,6
582,172,22,6,2,2,3,4,6
582,172,22,6,2,2,3,4,6
546,160,26,2,0,0,3,4,4
546,160,26,2,0,0,3,4,4
546,154,28,2,0,0,2,4,4
534,156,32,2,0,0,2,4,4
576,166,32,2,0,0,2,4,5
576,166,32,2,0,0,2,4,5
600,178,22,2,0,0,3,4,4
600,178,22,2,0,0,3,4,4
600,186,30,2,0,0,3,4,5
600,186,30,2,0,0,3,4,5
636,200,34,2,0,0,3,5,5
684,218,38,2,0,0,3,4,5
678,210,36,0,0,0,3,4,4
678,210,36,0,0,0,3,4,4
666,202,48,0,0,0,3,5,5
666,202,48,0,0,0,3,5,5
750,230,48,4,0,0,3,6,6
750,230,48,4,0,0,3,6,6
642,192,42,8,0,0,3,6,7
642,194,46,8,0,0,3,6,7
594,186,42,8,0,0,2,5,6
594,186,42,8,0,0,2,5,6
600,182,46,12,0,0,3,6,7
600,182,46,12,0,0,3,6,7
618,190,46,12,2,0,3,7,8
594,182,40,10,2,0,3,6,7
612,190,36,8,2,0,2,5,6
612,190,36,8,2,0,2,5,6
642,198,40,8,2,0,4,6,7
642,198,40,8,2,0,4,6,7
540,164,32,2,0,0,3,5,5
540,164,32,2,0,0,3,5,5
546,164,38,4,0,0,3,5,5
534,162,40,4,0,0,3,5,5
534,162,40,4,0,0,3,5,5
492,148,34,4,0,0,2,5,5
534,160,30,2,0,0,2,4,4
486,144,24,2,0,0,2,4,4
480,142,24,4,0,0,2,4,4
468,140,22,4,0,0,2,4,4
468,140,22,4,0,0,2,4,4
498,148,20,2,0,0,2,4,4
498,148,20,2,0,0,2,4,4
468,144,26,6,0,0,2,4,4
468,144,26,6,0,0,2,4,4
510,156,32,4,0,0,1,3,3
516,158,36,6,0,0,1,4,4
510,154,34,6,0,0,2,5,5
510,154,34,6,0,0,2,5,5
480,142,36,4,0,0,1,4,4
480,142,36,4,0,0,1,4,4
516,152,42,2,0,0,2,5,5
558,164,50,2,0,0,2,5,5
498,150,50,0,0,0,1,5,5
498,150,50,0,0,0,0,4,4
534,168,48,0,0,0,1,4,4
534,168,48,0,0,0,1,4,4
558,172,42,0,0,0,1,4,4
558,172,42,0,0,0,1,4,4
492,156,34,0,0,0,2,4,4
504,156,28,0,0,0,2,3,3
468,144,30,0,0,0,1,2,2
468,144,30,0,0,0,1,2,2
498,156,34,0,0,0,2,4,4
498,156,34,0,0,0,2,4,4
444,138,32,2,0,0,1,3,3
444,138,32,2,0,0,1,3,3
462,144,40,2,0,0,1,3,3
468,146,40,2,0,0,1,3,3
462,142,40,2,0,0,2,4,4
462,142,40,2,0,0,1,3,3
522,160,34,0,0,0,2,4,4
522,160,34,0,0,0,2,4,4
606,186,34,2,2,0,3,4,5
600,184,30,4,2,0,3,4,6
564,172,26,4,2,0,3,4,5
564,172,26,4,2,0,3,4,5
642,196,28,4,2,0,3,5,6
642,196,28,4,2,0,3,5,6
576,178,36,4,0,0,3,5,5
576,178,36,4,0,0,3,5,5
516,160,34,2,0,0,2,4,4
498,158,36,2,0,0,2,4,4
552,168,36,2,0,0,3,5,5
552,168,36,2,0,0,3,5,5
534,162,42,4,0,0,3,5,5
534,162,42,4,0,0,3,5,5
504,150,38,2,0,0,2,4,5
504,150,38,2,0,0,2,4,5
546,156,32,2,0,0,2,4,5
552,162,32,2,0,0,2,4,5
468,136,30,2,0,0,2,3,4
468,136,30,2,0,0,2,3,4
450,130,18,0,0,0,2,3,3
450,130,18,0,0,0,2,3,3
456,134,24,2,0,0,2,3,3
486,146,34,2,0,0,2,4,4
450,134,34,4,0,0,2,4,4
450,134,34,4,0,0,2,4,4
504,154,40,4,0,0,2,5,5
504,154,40,4,0,0,2,5,5
522,164,52,6,0,0,2,6,6
522,164,52,6,0,0,2,6,6
450,140,36,4,0,0,2,4,4
456,142,36,4,0,0,2,4,4
450,142,30,4,0,0,1,3,3
450,142,30,4,0,0,1,3,3
462,144,18,2,0,0,2,3,3
462,144,18,2,0,0,2,3,3
552,170,30,4,0,0,3,5,5
552,170,30,4,0,0,3,5,5
618,196,38,4,0,0,4,6,6
636,202,40,4,0,0,4,6,6
618,194,40,2,0,0,3,5,5
618,194,40,2,0,0,3,5,5
552,170,36,2,0,0,3,4,4
552,170,36,2,0,0,3,4,4
492,152,28,0,0,0,2,3,3
432,132,26,0,0,0,1,3,3
408,116,26,0,0,0,1,3,3
408,116,26,0,0,0,1,3,3
444,124,28,0,0,0,1,3,3
444,124,28,0,0,0,1,3,3
438,126,20,0,0,0,2,3,3
486,142,24,0,0,0,1,2,2
534,158,30,0,0,0,3,4,4
534,158,30,0,0,0,3,4,4
564,174,38,2,0,0,3,5,5
564,174,38,2,0,0,3,5,5
582,182,38,2,0,0,3,5,5
552,174,38,2,0,0,3,5,5
546,170,30,2,0,0,3,5,5
546,170,30,2,0,0,3,5,5
474,146,22,2,0,0,2,4,4
474,146,22,2,0,0,2,4,4
486,150,16,0,0,0,2,3,3
498,150,12,0,0,0,2,3,3
510,156,20,2,0,0,2,4,4
510,156,20,2,0,0,1,3,3
552,172,34,6,0,0,2,5,5
552,172,34,6,0,0,2,5,5
558,176,34,6,0,0,1,4,4
570,182,34,6,0,0,2,4,4
468,150,34,6,0,0,1,3,3
468,150,34,6,0,0,1,3,3
378,116,20,4,0,0,1,3,3
378,116,20,4,0,0,1,3,3
372,116,24,0,0,0,1,3,3
396,124,24,0,0,0,2,3,3
384,118,22,2,0,0,0,2,2
